date,result
2021-07-10,"17,27,30,35,42,47,34"
2021-07-07,"4,18,26,30,31,37,8"
2021-07-03,"29,30,36,38,44,45,25"
2021-06-30,"33,38,39,40,43,45,18"
2021-06-26,"10,14,21,22,35,44,13"
2021-06-23,"1,4,15,29,38,40,31"
2021-06-19,"10,14,33,40,42,45,8"
2021-06-16,"1,14,22,28,37,45,25"
2021-06-12,"5,10,17,22,29,36,25"
2021-06-09,"7,11,28,29,35,40,12"
2021-06-05,"10,16,17,24,26,42,35"
2021-06-02,"12,14,22,25,26,40,33"
2021-05-29,"9,15,28,34,39,46,26"
2021-05-26,"5,8,16,22,30,31,12"
2021-05-22,"1,5,12,23,45,46,41"
2021-05-19,"3,5,6,27,29,39,36"
2021-05-15,"2,8,15,31,37,44,3"
2021-05-12,"1,6,14,19,31,47,2"
2021-05-08,"2,4,14,21,41,42,28"
2021-05-05,"8,19,21,22,34,47,15"
2021-05-01,"1,4,16,23,26,35,31"
2021-04-28,"1,3,26,27,41,47,16"
2021-04-24,"5,11,16,41,43,47,14"
2021-04-21,"17,18,19,27,30,46,12"
2021-04-17,"18,21,27,29,34,47,46"
2021-04-14,"4,14,20,23,27,37,39"
2021-04-10,"4,11,18,21,33,35,16"
2021-04-07,"23,27,39,40,41,42,17"
2021-04-03,"15,17,23,32,35,45,46"
2021-03-31,"2,5,8,24,43,47,45"
2021-03-27,"5,9,13,34,37,40,26"
2021-03-24,"4,17,23,37,40,44,7"
2021-03-20,"4,27,37,43,44,46,32"
2021-03-17,"1,7,20,26,43,45,37"
2021-03-13,"2,5,7,10,24,46,38"
2021-03-10,"6,26,31,38,39,47,22"
2021-03-06,"3,14,17,18,38,47,46"
2021-03-03,"15,20,25,32,44,47,40"
2021-02-27,"15,29,34,38,40,43,14"
2021-02-24,"2,10,12,13,38,40,17"
2021-02-20,"16,27,34,35,37,45,28"
2021-02-17,"6,7,13,19,21,45,15"
2021-02-13,"11,12,21,30,35,38,36"
2021-02-10,"1,8,31,32,33,39,46"
2021-02-06,"1,9,22,34,41,43,20"
2021-02-03,"8,9,26,41,42,44,6"
2021-01-30,"7,17,21,28,38,41,23"
2021-01-27,"7,24,27,33,34,40,30"
2021-01-23,"5,11,15,19,33,40,8"
2021-01-20,"10,15,18,23,28,33,38"
2021-01-16,"12,17,22,32,38,39,40"
2021-01-13,"12,18,29,32,34,44,9"
2021-01-09,"10,17,42,43,45,47,37"
2021-01-06,"8,10,14,23,39,47,5"
2021-01-02,"3,6,18,26,42,47,1"
2020-12-30,"8,13,21,23,40,44,28"
2020-12-26,"22,23,24,28,32,41,44"
2020-12-23,"22,30,33,39,40,45,38"
2020-12-19,"9,14,16,28,33,38,22"
2020-12-16,"15,19,24,32,38,40,23"
2020-12-12,"3,8,10,18,22,30,31"
2020-12-09,"13,14,28,29,34,47,45"
2020-12-05,"3,8,10,20,43,44,40"
2020-12-02,"9,12,22,28,35,47,37"
2020-11-28,"5,6,16,18,45,47,41"
2020-11-25,"1,4,16,20,28,36,7"
2020-11-21,"6,19,21,27,28,36,32"
2020-11-18,"1,14,17,23,31,35,41"
2020-11-14,"2,14,28,33,44,47,37"
2020-11-11,"3,26,27,29,41,45,33"
2020-11-07,"14,26,27,35,38,45,39"
2020-11-04,"4,20,30,31,34,38,1"
2020-10-31,"20,34,36,37,46,47,27"
2020-10-28,"5,13,15,18,27,30,6"
2020-10-24,"1,6,18,29,31,42,12"
2020-10-21,"5,9,14,20,30,36,37"
2020-10-17,"3,5,12,21,22,39,30"
2020-10-14,"4,24,30,38,39,42,33"
2020-10-10,"3,5,16,22,28,41,43"
2020-10-07,"4,9,13,22,44,47,31"
2020-10-03,"9,12,15,20,23,26,1"
2020-09-30,"3,4,7,14,18,47,29"
2020-09-26,"5,7,8,13,18,25,26"
2020-09-23,"2,5,7,29,38,42,27"
2020-09-19,"12,14,16,21,40,47,18"
2020-09-16,"4,7,10,37,38,45,42"
2020-09-12,"6,15,16,28,31,41,37"
2020-09-09,"22,23,27,30,42,46,43"
2020-09-05,"1,23,25,42,43,46,19"
2020-09-02,"3,5,16,40,45,47,36"
2020-08-29,"5,9,12,30,34,39,26"
2020-08-26,"9,13,33,38,45,46,1"
2020-08-22,"4,5,12,15,16,31,23"
2020-08-19,"5,18,34,40,42,44,36"
2020-08-15,"3,7,18,36,40,42,16"
2020-08-12,"12,13,20,22,29,34,31"
2020-08-08,"21,28,32,33,43,47,40"
2020-08-05,"10,14,25,36,38,47,2"
2020-08-01,"4,14,23,27,33,38,43"
2020-07-29,"3,20,25,29,31,34,14"
2020-07-25,"8,11,17,19,21,39,35"
2020-07-22,"3,10,11,27,28,33,35"
2020-07-18,"12,14,25,27,40,44,2"
2020-07-15,"9,14,15,23,27,38,33"
2020-07-11,"1,6,11,15,41,44,20"
2020-07-08,"10,15,22,24,32,42,46"
2020-07-04,"15,20,23,25,39,46,26"
2020-07-01,"3,8,21,34,37,47,16"
2020-06-27,"5,17,18,31,38,47,12"
2020-06-24,"5,6,15,32,39,47,31"
2020-06-20,"5,8,19,40,41,44,17"
2020-06-17,"1,8,11,12,20,26,25"
2020-06-13,"10,12,13,29,30,35,15"
2020-06-10,"6,19,32,35,37,47,16"
2020-06-06,"11,22,27,28,34,36,45"
2020-06-03,"20,23,26,36,43,44,5"
2020-05-30,"3,13,23,29,33,38,15"
2020-05-27,"7,23,30,38,46,47,31"
2020-05-23,"15,24,28,34,40,45,20"
2020-05-20,"5,15,16,19,31,37,12"
2020-05-16,"23,28,33,34,41,45,39"
2020-05-13,"2,9,15,24,31,33,11"
2020-05-09,"13,18,30,41,42,44,37"
2020-05-06,"7,14,20,23,27,46,25"
2020-05-02,"3,10,17,21,37,46,2"
2020-04-29,"8,23,31,39,41,45,36"
2020-04-25,"3,16,20,25,29,33,14"
2020-04-22,"14,24,25,26,29,40,8"
2020-04-18,"4,9,15,27,29,34,17"
2020-04-15,"7,19,33,37,39,42,35"
2020-04-11,"13,16,20,28,37,47,17"
2020-04-08,"10,13,24,32,33,42,5"
2020-04-04,"12,22,23,29,38,44,7"
2020-04-01,"4,10,14,15,29,43,2"
2020-03-28,"2,9,21,34,37,44,3"
2020-03-25,"9,21,27,28,30,41,24"
2020-03-21,"4,5,7,16,43,47,10"
2020-03-18,"4,8,14,15,31,34,13"
2020-03-14,"5,8,11,18,22,36,40"
2020-03-11,"3,10,16,37,38,42,2"
2020-03-07,"12,14,22,26,33,45,18"
2020-03-04,"1,7,10,12,24,34,45"
2020-02-29,"5,11,18,35,40,42,10"
2020-02-26,"2,11,26,31,40,47,18"
2020-02-22,"5,14,27,28,31,44,43"
2020-02-19,"6,10,16,24,25,46,29"
2020-02-15,"1,2,8,33,38,41,20"
2020-02-12,"2,4,10,17,20,41,25"
2020-02-08,"14,20,24,38,41,45,3"
2020-02-05,"13,19,20,33,40,43,23"
2020-02-01,"3,10,12,23,29,45,1"
2020-01-29,"1,3,20,22,39,44,16"
2020-01-25,"11,27,29,34,35,40,46"
2020-01-22,"10,15,19,21,24,37,46"
2020-01-18,"4,13,16,23,33,42,27"
2020-01-15,"15,17,23,31,33,41,45"
2020-01-11,"3,15,20,22,24,45,14"
2020-01-08,"2,5,13,31,42,44,35"
2020-01-04,"2,5,16,17,22,23,36"
2020-01-01,"4,5,23,30,42,47,3"
2019-12-28,"2,14,18,23,34,39,25"
2019-12-25,"12,23,30,36,37,38,3"
2019-12-21,"6,19,22,28,35,40,32"
2019-12-18,"8,9,14,18,23,38,16"
2019-12-14,"11,17,24,29,30,47,38"
2019-12-11,"2,9,12,21,32,46,41"
2019-12-07,"13,16,18,25,38,41,1"
2019-12-04,"14,16,26,27,32,36,17"
2019-11-30,"6,7,19,22,24,46,11"
2019-11-27,"11,28,29,39,42,44,27"
2019-11-23,"4,15,20,21,34,39,19"
2019-11-20,"15,16,20,25,28,37,39"
2019-11-16,"1,2,11,13,14,44,41"
2019-11-13,"2,6,8,9,24,39,36"
2019-11-09,"3,4,15,26,27,47,16"
2019-11-06,"1,12,27,29,30,35,9"
2019-11-02,"3,18,28,30,31,47,7"
2019-10-30,"1,3,7,13,23,25,6"
2019-10-26,"13,20,37,38,39,47,29"
2019-10-23,"13,27,32,36,38,39,43"
2019-10-19,"5,8,18,19,28,34,33"
2019-10-16,"7,14,17,23,30,45,21"
2019-10-12,"1,23,27,33,42,44,31"
2019-10-09,"9,10,21,27,31,35,20"
2019-10-05,"18,21,29,35,41,43,11"
2019-10-02,"6,10,16,23,24,37,45"
2019-09-28,"2,10,22,27,38,39,41"
2019-09-25,"1,13,17,26,30,35,19"
2019-09-21,"6,8,13,15,21,30,17"
2019-09-18,"8,13,17,29,34,37,14"
2019-09-14,"16,21,24,30,31,43,46"
2019-09-11,"2,15,24,33,41,42,23"
2019-09-07,"8,11,12,25,34,39,42"
2019-09-04,"7,22,27,30,41,42,11"
2019-08-31,"13,19,22,24,34,40,47"
2019-08-28,"1,8,10,35,37,42,20"
2019-08-24,"5,6,8,16,29,46,21"
2019-08-21,"10,13,23,24,25,44,12"
2019-08-17,"1,15,16,28,34,45,46"
2019-08-14,"15,18,25,29,39,40,1"
2019-08-10,"6,12,28,33,44,45,40"
2019-08-07,"2,3,7,16,29,37,41"
2019-08-03,"1,3,22,29,31,37,34"
2019-07-31,"5,10,13,19,27,28,37"
2019-07-27,"4,29,30,33,40,42,41"
2019-07-24,"11,14,22,31,32,33,43"
2019-07-20,"9,13,34,35,37,41,43"
2019-07-17,"7,20,28,29,42,46,32"
2019-07-13,"4,8,23,25,34,35,45"
2019-07-10,"4,7,26,33,35,38,15"
2019-07-06,"7,14,17,19,27,31,10"
2019-07-03,"18,25,30,35,41,44,27"
2019-06-29,"7,12,35,40,44,46,22"
2019-06-26,"5,13,16,23,27,35,19"
2019-06-22,"3,4,19,32,39,46,40"
2019-06-19,"7,17,30,31,34,42,18"
2019-06-15,"3,32,34,37,41,43,21"
2019-06-12,"7,14,24,27,35,38,42"
2019-06-08,"9,10,34,37,40,47,7"
2019-06-05,"1,3,12,29,36,44,38"
2019-06-01,"1,2,3,10,30,45,28"
2019-05-29,"3,11,12,24,37,39,40"
2019-05-25,"12,14,17,23,27,46,43"
2019-05-22,"18,23,29,35,40,46,27"
2019-05-18,"1,7,9,18,22,33,17"
2019-05-15,"20,21,25,28,33,39,3"
2019-05-11,"1,7,10,13,39,47,15"
2019-05-08,"8,17,21,28,44,46,2"
2019-05-04,"22,24,26,39,42,47,4"
2019-05-01,"2,17,18,35,38,43,12"
2019-04-27,"10,12,21,33,35,39,13"
2019-04-24,"9,12,26,29,34,40,28"
2019-04-20,"7,13,14,15,16,33,20"
2019-04-17,"7,30,35,37,41,42,14"
2019-04-13,"6,7,17,24,27,44,35"
2019-04-10,"3,9,17,29,42,43,16"
2019-04-06,"4,9,10,34,35,46,11"
2019-04-03,"2,11,22,23,29,45,44"
2019-03-30,"1,10,14,21,22,39,40"
2019-03-27,"14,17,26,31,34,43,47"
2019-03-23,"9,10,23,29,42,47,12"
2019-03-20,"1,18,19,25,26,42,9"
2019-03-16,"7,15,23,37,41,43,3"
2019-03-13,"7,10,18,45,46,47,39"
2019-03-09,"2,3,22,25,31,34,37"
2019-03-06,"2,6,13,21,41,46,27"
2019-03-02,"1,3,7,27,31,44,19"
2019-02-27,"14,15,16,19,38,46,6"
2019-02-23,"3,19,21,29,31,35,22"
2019-02-20,"1,9,10,16,19,30,12"
2019-02-16,"3,6,17,28,35,42,37"
2019-02-13,"3,9,11,27,30,47,42"
2019-02-09,"4,9,12,14,17,20,18"
2019-02-06,"3,4,8,10,11,46,12"
2019-02-02,"3,5,16,30,46,47,37"
2019-01-30,"4,6,16,34,38,39,42"
2019-01-26,"6,12,13,23,31,34,15"
2019-01-23,"14,26,36,37,40,45,38"
2019-01-19,"7,33,34,37,45,46,42"
2019-01-16,"6,9,11,27,34,42,14"
2019-01-12,"19,30,32,33,35,46,3"
2019-01-09,"15,16,18,23,39,45,22"
2019-01-05,"7,10,18,26,37,40,4"
2019-01-02,"2,14,26,33,37,47,38"
2018-12-29,"7,13,18,26,27,28,9"
2018-12-26,"1,2,30,41,42,43,25"
2018-12-22,"5,20,21,24,34,45,22"
2018-12-19,"1,5,19,24,27,42,44"
2018-12-15,"2,9,23,34,35,38,41"
2018-12-12,"1,19,20,29,31,44,11"
2018-12-08,"9,15,17,24,41,43,37"
2018-12-05,"15,16,17,18,35,43,21"
2018-12-01,"16,24,31,39,43,47,17"
2018-11-28,"8,9,10,17,20,37,24"
2018-11-24,"21,29,31,38,41,42,12"
2018-11-21,"9,14,15,18,25,34,44"
2018-11-17,"3,4,20,21,37,42,17"
2018-11-14,"1,8,14,15,45,47,32"
2018-11-10,"7,8,12,22,36,46,31"
2018-11-07,"1,8,11,22,28,32,35"
2018-11-03,"1,5,6,12,22,46,33"
2018-10-31,"6,15,20,29,38,44,41"
2018-10-27,"14,24,30,38,40,45,36"
2018-10-24,"8,19,24,29,42,45,7"
2018-10-20,"11,22,31,36,44,46,42"
2018-10-17,"13,16,20,39,42,45,31"
2018-10-13,"5,7,8,22,27,31,2"
2018-10-10,"2,13,17,21,28,37,11"
2018-10-06,"7,21,22,29,31,46,11"
2018-10-03,"1,15,22,27,31,34,42"
2018-09-29,"6,9,13,14,27,45,33"
2018-09-26,"6,7,21,37,46,47,34"
2018-09-22,"8,15,30,32,35,46,39"
2018-09-19,"8,11,32,36,46,47,34"
2018-09-15,"5,7,18,28,37,40,38"
2018-09-12,"11,12,28,35,37,44,30"
2018-09-08,"5,12,24,36,37,42,4"
2018-09-05,"3,10,12,20,29,46,32"
2018-09-01,"7,8,9,15,27,29,33"
2018-08-29,"26,27,35,40,41,42,7"
2018-08-25,"4,9,16,17,21,41,36"
2018-08-22,"8,14,28,29,35,44,30"
2018-08-18,"3,8,12,18,22,32,17"
2018-08-15,"15,30,31,33,39,42,3"
2018-08-11,"4,22,30,37,45,47,17"
2018-08-08,"5,20,25,27,30,31,26"
2018-08-04,"3,4,5,19,26,43,24"
2018-08-01,"3,27,38,40,43,46,12"
2018-07-28,"7,23,27,28,37,44,5"
2018-07-25,"3,16,21,29,36,47,35"
2018-07-21,"2,6,11,13,20,30,38"
2018-07-18,"2,8,25,33,39,42,43"
2018-07-14,"5,16,37,43,44,46,7"
2018-07-11,"2,14,21,39,42,45,28"
2018-07-07,"3,11,24,26,29,47,13"
2018-07-04,"6,25,29,33,42,46,5"
2018-06-30,"19,22,24,30,38,45,46"
2018-06-27,"9,18,20,27,38,39,29"
2018-06-23,"4,6,12,20,40,43,21"
2018-06-20,"11,26,32,36,42,47,34"
2018-06-16,"6,26,27,32,45,47,9"
2018-06-13,"5,21,25,29,41,43,31"
2018-06-09,"11,12,19,27,30,38,16"
2018-06-06,"1,10,22,28,44,47,14"
2018-06-02,"1,7,10,17,35,37,43"
2018-05-30,"11,13,14,16,31,38,5"
2018-05-26,"6,15,22,30,39,45,16"
2018-05-23,"5,22,29,38,40,44,20"
2018-05-19,"3,11,14,23,36,45,26"
2018-05-16,"5,10,14,22,25,31,15"
2018-05-12,"5,6,14,19,22,30,24"
2018-05-09,"1,12,23,32,36,40,2"
2018-05-05,"13,19,30,36,41,47,9"
2018-05-02,"9,17,19,29,37,41,12"
2018-04-28,"8,16,20,22,37,47,13"
2018-04-25,"18,30,31,32,33,42,19"
2018-04-21,"9,12,19,20,29,36,7"
2018-04-18,"5,14,15,24,27,41,25"
2018-04-14,"8,9,12,20,28,34,47"
2018-04-11,"2,7,33,35,40,42,10"
2018-04-07,"4,18,30,35,40,45,34"
2018-04-04,"8,14,18,20,23,29,5"
2018-03-31,"1,2,17,19,38,47,13"
2018-03-28,"19,20,28,30,33,37,25"
2018-03-24,"2,17,24,25,35,40,36"
2018-03-21,"3,5,13,18,29,40,32"
2018-03-17,"4,10,13,22,25,31,30"
2018-03-14,"10,11,15,16,22,46,27"
2018-03-10,"12,27,30,33,38,40,34"
2018-03-07,"15,19,22,35,36,45,11"
2018-03-03,"23,25,33,39,42,46,24"
2018-02-28,"8,14,17,25,28,39,35"
2018-02-24,"1,10,30,31,42,47,25"
2018-02-21,"9,26,27,29,31,47,30"
2018-02-17,"20,21,23,34,39,43,4"
2018-02-14,"8,16,18,23,35,40,39"
2018-02-10,"4,6,16,18,27,39,45"
2018-02-07,"2,5,23,31,37,39,4"
2018-02-03,"7,16,21,27,30,31,26"
2018-01-31,"2,9,13,19,21,45,38"
2018-01-27,"2,12,22,24,33,41,10"
2018-01-24,"2,7,15,20,21,23,45"
2018-01-20,"17,19,29,31,37,41,34"
2018-01-17,"1,4,25,31,32,38,45"
2018-01-13,"1,2,7,33,34,40,6"
2018-01-10,"29,32,33,35,36,44,42"
2018-01-06,"6,8,19,20,38,46,23"
2018-01-03,"3,8,15,22,25,27,20"
2017-12-30,"2,8,14,18,39,44,16"
2017-12-27,"17,20,22,24,25,40,18"
2017-12-23,"5,14,28,29,32,38,31"
2017-12-20,"15,16,18,26,27,38,43"
2017-12-16,"1,21,33,37,38,40,8"
2017-12-13,"31,38,39,40,42,47,43"
2017-12-09,"5,13,15,23,36,45,28"
2017-12-06,"9,15,29,36,44,47,34"
2017-12-02,"10,11,18,27,28,42,38"
2017-11-29,"1,4,5,16,39,47,38"
2017-11-25,"4,16,18,24,32,35,46"
2017-11-22,"1,8,18,25,39,41,28"
2017-11-18,"15,17,21,24,28,36,33"
2017-11-15,"4,7,17,19,27,34,9"
2017-11-11,"9,16,27,41,42,47,4"
2017-11-08,"7,11,26,30,45,47,1"
2017-11-04,"21,31,32,43,44,47,24"
2017-11-01,"5,13,14,23,31,34,1"
2017-10-28,"2,3,17,21,34,39,5"
2017-10-25,"8,10,11,25,28,32,35"
2017-10-21,"2,10,12,14,31,46,42"
2017-10-18,"9,13,16,27,32,33,44"
2017-10-14,"2,8,9,16,27,43,14"
2017-10-11,"18,23,25,26,42,43,2"
2017-10-07,"9,16,25,31,38,43,13"
2017-10-04,"15,18,24,28,33,47,43"
2017-09-30,"4,6,16,18,26,32,10"
2017-09-27,"19,24,31,36,38,42,14"
2017-09-23,"9,26,27,30,42,44,17"
2017-09-20,"3,11,14,24,30,35,12"
2017-09-16,"1,2,4,22,38,40,29"
2017-09-13,"7,19,20,32,34,43,45"
2017-09-09,"2,8,20,25,33,45,7"
2017-09-06,"1,4,5,6,18,47,35"
2017-09-02,"7,11,18,23,28,40,37"
2017-08-30,"5,12,18,19,29,39,10"
2017-08-26,"1,16,17,32,34,35,5"
2017-08-23,"7,19,30,31,37,42,35"
2017-08-19,"3,12,19,23,37,40,31"
2017-08-16,"7,16,17,25,31,33,39"
2017-08-12,"1,19,22,26,44,45,35"
2017-08-09,"2,7,10,27,29,37,40"
2017-08-05,"17,20,26,28,36,47,42"
2017-08-02,"7,12,20,23,25,41,38"
2017-07-29,"7,18,29,32,34,41,20"
2017-07-26,"1,6,13,24,37,40,23"
2017-07-22,"8,14,20,21,41,44,9"
2017-07-19,"1,5,27,28,32,45,7"
2017-07-15,"5,10,18,23,36,46,40"
2017-07-12,"5,6,24,30,38,47,27"
2017-07-08,"11,31,32,33,38,45,37"
2017-07-05,"7,16,18,20,24,37,13"
2017-07-01,"11,13,19,26,38,41,29"
2017-06-28,"6,10,15,25,34,45,42"
2017-06-24,"3,20,31,32,43,46,19"
2017-06-21,"12,15,24,29,33,46,22"
2017-06-17,"9,14,32,34,40,42,22"
2017-06-14,"7,10,20,22,40,46,3"
2017-06-10,"5,6,19,20,24,29,39"
2017-06-07,"4,9,17,20,23,33,19"
2017-06-03,"8,10,22,31,36,37,43"
2017-05-31,"15,31,33,34,36,43,39"
2017-05-27,"2,5,12,34,41,47,29"
2017-05-24,"6,16,21,22,30,45,8"
2017-05-20,"11,17,29,30,38,42,16"
2017-05-17,"11,32,39,41,42,44,9"
2017-05-13,"4,16,33,39,43,47,19"
2017-05-10,"7,8,19,29,36,47,17"
2017-05-06,"3,7,17,21,22,28,2"
2017-05-03,"1,15,24,31,35,36,19"
2017-04-29,"3,12,16,21,39,44,47"
2017-04-26,"1,16,24,28,39,40,29"
2017-04-22,"13,17,18,25,26,27,12"
2017-04-19,"8,18,23,29,30,31,47"
2017-04-15,"7,9,16,26,40,45,13"
2017-04-12,"7,14,18,24,25,31,29"
2017-04-08,"2,7,9,35,41,45,22"
2017-04-05,"9,10,11,22,30,42,41"
2017-04-01,"9,16,31,35,37,43,34"
2017-03-29,"1,8,28,38,40,46,33"
2017-03-25,"1,4,6,16,18,27,28"
2017-03-22,"16,22,30,35,36,47,13"
2017-03-18,"9,11,18,24,30,44,46"
2017-03-15,"7,9,15,30,37,45,23"
2017-03-11,"3,11,32,36,37,38,1"
2017-03-08,"11,13,21,31,32,42,16"
2017-03-04,"6,12,18,20,41,42,13"
2017-03-01,"2,15,19,26,37,38,39"
2017-02-25,"2,12,17,29,32,38,20"
2017-02-22,"5,9,27,36,38,47,31"
2017-02-18,"27,32,44,45,46,47,24"
2017-02-15,"3,10,15,17,34,39,31"
2017-02-11,"2,16,19,26,28,29,37"
2017-02-08,"2,6,9,31,41,47,43"
2017-02-04,"10,21,22,26,42,46,35"
2017-02-01,"11,13,34,38,40,47,21"
2017-01-28,"13,14,22,24,25,42,7"
2017-01-25,"6,7,17,20,25,29,34"
2017-01-21,"18,21,22,23,24,36,45"
2017-01-18,"2,12,24,31,34,43,47"
2017-01-14,"2,4,11,22,25,34,7"
2017-01-11,"8,12,13,16,19,24,15"
2017-01-07,"33,36,39,42,45,47,38"
2017-01-04,"6,10,19,21,43,44,3"
2016-12-31,"2,8,10,23,27,29,5"
2016-12-28,"1,12,34,43,45,47,27"
2016-12-24,"8,10,11,16,40,42,38"
2016-12-21,"6,10,23,28,37,41,18"
2016-12-17,"7,20,25,27,41,45,35"
2016-12-14,"1,7,9,27,35,42,44"
2016-12-10,"4,5,17,25,36,41,43"
2016-12-07,"30,36,37,39,43,44,13"
2016-12-03,"2,6,21,23,29,44,41"
2016-11-30,"1,5,24,34,39,41,20"
2016-11-26,"1,19,31,33,37,39,41"
2016-11-23,"3,8,20,27,28,39,14"
2016-11-19,"2,13,19,26,29,46,40"
2016-11-16,"12,14,27,31,37,42,30"
2016-11-12,"2,9,19,28,32,43,47"
2016-11-09,"2,15,18,30,33,40,6"
2016-11-05,"1,16,27,32,35,45,28"
2016-11-02,"13,27,36,39,41,46,16"
2016-10-29,"20,25,28,32,38,39,9"
2016-10-26,"11,21,22,27,30,43,8"
2016-10-22,"7,9,12,15,28,45,35"
2016-10-19,"2,11,24,28,37,47,35"
2016-10-15,"5,10,27,30,32,45,17"
2016-10-12,"4,6,9,20,29,45,32"
2016-10-08,"9,18,24,26,27,35,46"
2016-10-05,"4,17,22,40,42,46,11"
2016-10-01,"2,5,8,14,40,42,7"
2016-09-28,"1,2,20,27,32,38,3"
2016-09-24,"2,7,16,17,27,47,41"
2016-09-21,"2,19,31,40,43,46,5"
2016-09-17,"12,16,17,18,25,35,40"
2016-09-14,"6,7,15,17,20,45,19"
2016-09-10,"5,6,14,24,26,29,20"
2016-09-07,"1,2,10,25,38,41,15"
2016-09-03,"6,9,11,16,19,29,22"
2016-08-31,"8,14,16,34,35,42,13"
2016-08-27,"5,10,20,35,43,44,17"
2016-08-24,"10,17,18,29,37,43,46"
2016-08-20,"10,11,12,15,18,19,35"
2016-08-17,"3,16,29,30,41,43,9"
2016-08-13,"5,13,16,18,19,40,44"
2016-08-10,"6,11,17,20,28,34,25"
2016-08-06,"6,17,18,30,40,43,46"
2016-08-03,"11,14,15,27,29,37,44"
2016-07-30,"8,10,18,20,28,44,4"
2016-07-27,"2,4,5,27,40,47,43"
2016-07-23,"1,10,13,18,27,40,6"
2016-07-20,"22,35,36,41,44,45,3"
2016-07-16,"15,28,39,40,42,43,9"
2016-07-13,"6,9,17,33,44,47,37"
2016-07-09,"3,11,32,33,37,44,24"
2016-07-06,"4,5,9,12,29,38,22"
2016-07-02,"4,11,24,40,42,43,9"
2016-06-29,"7,10,16,40,44,45,33"
2016-06-25,"1,4,27,29,42,45,3"
2016-06-22,"6,16,23,28,32,35,4"
2016-06-18,"4,6,15,21,22,42,36"
2016-06-15,"10,15,18,20,32,46,5"
2016-06-11,"15,16,19,20,26,29,34"
2016-06-08,"1,10,15,18,30,44,28"
2016-06-04,"4,32,34,35,43,47,31"
2016-06-01,"1,15,31,42,44,47,7"
2016-05-28,"22,28,37,38,41,42,31"
2016-05-25,"16,18,27,31,39,45,44"
2016-05-21,"8,15,17,22,34,38,10"
2016-05-18,"4,8,12,15,25,40,47"
2016-05-14,"19,20,24,31,43,47,3"
2016-05-11,"3,8,14,18,37,41,34"
2016-05-07,"4,5,11,17,34,42,13"
2016-05-04,"2,28,34,36,45,46,9"
2016-04-30,"14,21,23,25,30,34,17"
2016-04-27,"2,5,17,27,34,45,4"
2016-04-23,"1,9,15,23,33,38,29"
2016-04-20,"4,5,7,14,18,31,28"
2016-04-16,"2,10,28,38,44,46,1"
2016-04-13,"1,9,16,34,37,46,31"
2016-04-09,"14,22,37,40,43,45,13"
2016-04-06,"9,27,30,38,40,46,14"
2016-04-02,"2,3,6,22,25,42,34"
2016-03-30,"2,10,27,38,39,43,9"
2016-03-26,"4,8,20,23,29,41,6"
2016-03-23,"3,10,21,25,28,34,19"
2016-03-19,"7,13,26,36,39,42,18"
2016-03-16,"4,14,21,28,35,36,25"
2016-03-12,"9,18,23,27,31,38,30"
2016-03-09,"4,6,12,13,15,31,14"
2016-03-05,"2,8,16,24,33,42,47"
2016-03-02,"10,11,21,23,25,44,35"
2016-02-27,"7,8,22,35,39,46,31"
2016-02-24,"1,15,17,34,39,46,12"
2016-02-20,"10,14,22,32,34,40,27"
2016-02-17,"7,10,19,29,39,44,45"
2016-02-13,"2,12,21,22,30,37,10"
2016-02-10,"10,22,27,37,41,42,21"
2016-02-06,"3,4,14,25,42,45,17"
2016-02-03,"1,4,7,14,15,42,37"
2016-01-30,"21,25,26,28,33,47,30"
2016-01-27,"6,7,11,17,23,33,21"
2016-01-23,"10,12,13,19,43,45,5"
2016-01-20,"3,6,17,23,27,29,5"
2016-01-16,"14,18,25,27,33,44,38"
2016-01-13,"10,14,26,37,42,47,2"
2016-01-09,"2,11,14,28,29,34,37"
2016-01-06,"2,15,25,43,45,46,16"
2016-01-02,"10,19,23,28,31,32,6"
